Replicate ID,Replicate_ID2,Treatment ,Phase,Pardosa 1,Pardosa 2,Pardosa 3,Pardosa 4,Pardosa 5,Pardosa 6,Pardosa 7,Pardosa 8,mean_activity,sd_activity,Blister_beetle,Leaf_hoppers,Beet_armyworm,Pea_aphid,Sharpshooter,Alfalfa_weevil
1,B1,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
2,B2,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
3,B3,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
4,B4,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
5,B5,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
6,B6,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
7,B7,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
8,B8,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
9,B9,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
10,B10,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
11,B11,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
12,B12,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
13,B13,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
14,B14,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
15,B15,Inactive,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
1,C1,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
2,C2,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
3,C3,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
4,C4,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
5,C5,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
6,C6,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
7,C7,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
8,C8,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
9,C9,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
10,C10,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
11,C11,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
12,C12,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
13,C13,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
14,C14,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
15,C15,Active,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
1,D1,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
2,D2,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
3,D3,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
4,D4,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
5,D5,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
6,D6,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
7,D7,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
8,D8,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
9,D9,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
10,D10,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
11,D11,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
12,D12,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
13,D13,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
14,D14,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
15,D15,Mixed,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
1,A1,Control,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
2,A2,Control,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
3,A3,Control,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
4,A4,Control,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
5,A5,Control,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
6,A6,Control,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
7,A7,Control,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
8,A8,Control,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
9,A9,Control,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
10,A10,Control,Initial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,10,9,5,8
1,B1,Inactive,Post-Treatment,7,7,8,8,4,2,8,8,6.5,2.267786838,12,8,10,55,3,6
2,B2,Inactive,Post-Treatment,8,6,11,6,9,8,7,7,7.75,1.669045921,13,9,9,27,4,7
3,B3,Inactive,Post-Treatment,4,8,13,8,8,3,8,8,7.5,3.023715784,12,7,6,42,3,6
