Activity,Prey,Capture
7,Blister_beetle,1
16,Blister_beetle,0
3,Blister_beetle,1
13,Blister_beetle,1
22,Blister_beetle,0
5,Blister_beetle,0
18,Blister_beetle,1
20,Blister_beetle,1
16,Blister_beetle,1
12,Blister_beetle,0
18,Blister_beetle,1
5,Blister_beetle,1
8,Leaf_hopper,1
17,Leaf_hopper,1
25,Leaf_hopper,1
8,Leaf_hopper,1
17,Leaf_hopper,1
22,Leaf_hopper,1
19,Leaf_hopper,1
8,Leaf_hopper,1
21,Leaf_hopper,0
8,Leaf_hopper,1
9,Leaf_hopper,1
8,Leaf_hopper,1
20,Beet_armyworm,0
6,Beet_armyworm,0
23,Beet_armyworm,0
17,Beet_armyworm,1
19,Beet_armyworm,0
13,Beet_armyworm,0
23,Beet_armyworm,0
19,Beet_armyworm,0
21,Beet_armyworm,1
21,Beet_armyworm,1
9,Beet_armyworm,0
18,Beet_armyworm,0
17,Pea_aphid,0
24,Pea_aphid,0
15,Pea_aphid,0
6,Pea_aphid,0
5,Pea_aphid,0
15,Pea_aphid,0
3,Pea_aphid,0
19,Pea_aphid,0
8,Pea_aphid,0
17,Pea_aphid,1
18,Pea_aphid,0
18,Pea_aphid,0
11,Pea_aphid,1
24,Pea_aphid,0
24,Sharpshooter,1
28,Sharpshooter,1
18,Sharpshooter,1
1,Sharpshooter,1
19,Sharpshooter,1
18,Sharpshooter,1
17,Sharpshooter,1
13,Sharpshooter,0
8,Sharpshooter,1
17,Sharpshooter,0
8,Sharpshooter,1
11,Sharpshooter,1
15,Sharpshooter,1
11,Sharpshooter,1
18,Alfalfa_weevil,0
11,Alfalfa_weevil,0
11,Alfalfa_weevil,0
5,Alfalfa_weevil,1
17,Alfalfa_weevil,0
20,Alfalfa_weevil,0
21,Alfalfa_weevil,0
17,Alfalfa_weevil,0
19,Alfalfa_weevil,0
21,Alfalfa_weevil,0
8,Alfalfa_weevil,1
11,Alfalfa_weevil,0
15,Alfalfa_weevil,1
11,Alfalfa_weevil,1
