Pardosa_ID,Measurement,Activity,Size
14,1,2,1.6
14,2,11,1.6
14,3,3,1.6
14,4,8,1.6
14,5,7,1.6
14,6,8,1.6
14,7,15,1.6
14,8,13,1.6
8,1,6,1.2
8,2,2,1.2
8,3,7,1.2
8,4,8,1.2
8,5,16,1.2
8,6,21,1.2
8,7,6,1.2
8,8,8,1.2
19,1,6,1.6
19,2,10,1.6
19,3,11,1.6
19,4,7,1.6
19,5,3,1.6
19,6,8,1.6
19,7,5,1.6
19,8,17,1.6
7,1,8,1.6
7,2,21,1.6
7,3,24,1.6
7,4,25,1.6
7,5,13,1.6
7,6,9,1.6
7,7,15,1.6
7,8,8,1.6
9,1,12,1.4
9,2,14,1.4
9,3,6,1.4
9,4,7,1.4
9,5,22,1.4
9,6,8,1.4
9,7,3,1.4
9,8,11,1.4
10,1,13,1.3
10,2,16,1.3
10,3,17,1.3
10,4,7,1.3
10,5,5,1.3
10,6,20,1.3
10,7,19,1.3
10,8,15,1.3
12,1,13,1.1
12,2,13,1.1
12,3,12,1.1
12,4,17,1.1
12,5,18,1.1
12,6,6,1.1
12,7,8,1.1
12,8,11,1.1
1,1,14,1.4
1,2,20,1.4
1,3,21,1.4
1,4,16,1.4
1,5,20,1.4
1,6,23,1.4
1,7,17,1.4
1,8,18,1.4
11,1,14,1.8
11,2,12,1.8
11,3,17,1.8
11,4,18,1.8
11,5,16,1.8
11,6,17,1.8
11,7,18,1.8
11,8,11,1.8
3,1,15,1.5
3,2,11,1.5
3,3,15,1.5
3,4,16,1.5
3,5,12,1.5
3,6,19,1.5
3,7,18,1.5
3,8,11,1.5
15,1,15,1.4
15,2,16,1.4
15,3,17,1.4
15,4,12,1.4
15,5,18,1.4
15,6,13,1.4
15,7,11,1.4
15,8,5,1.4
4,1,17,1.3
4,2,4,1.3
4,3,9,1.3
4,4,14,1.3
4,5,5,1.3
4,6,23,1.3
4,7,24,1.3
4,8,17,1.3
13,1,17,1.8
13,2,15,1.8
13,3,16,1.8
13,4,13,1.8
13,5,8,1.8
13,6,19,1.8
13,7,24,1.8
13,8,20,1.8
2,1,21,1.2
2,2,16,1.2
2,3,17,1.2
2,4,24,1.2
2,5,17,1.2
2,6,21,1.2
2,7,28,1.2
2,8,21,1.2
5,1,21,1.3
5,2,7,1.3
5,3,20,1.3
5,4,21,1.3
5,5,25,1.3
5,6,21,1.3
5,7,18,1.3
5,8,17,1.3
17,1,21,1.9
17,2,2,1.9
17,3,7,1.9
17,4,4,1.9
17,5,8,1.9
17,6,9,1.9
17,7,1,1.9
17,8,19,1.9
6,1,23,1.7
6,2,14,1.7
6,3,15,1.7
6,4,16,1.7
6,5,17,1.7
6,6,18,1.7
6,7,19,1.7
6,8,21,1.7
16,1,23,1.4
16,2,17,1.4
16,3,8,1.4
16,4,14,1.4
16,5,22,1.4
16,6,17,1.4
16,7,18,1.4
16,8,15,1.4
18,1,28,1.8
18,2,18,1.8
18,3,21,1.8
18,4,18,1.8
18,5,19,1.8
18,6,24,1.8
18,7,17,1.8
18,8,24,1.8
