Prey,Activity,Capture
Blister_beetle,7,1
Blister_beetle,16,0
Blister_beetle,3,1
Blister_beetle,13,1
Blister_beetle,22,0
Blister_beetle,5,0
Blister_beetle,18,1
Blister_beetle,20,1
Blister_beetle,16,1
Blister_beetle,12,0
Blister_beetle,18,1
Blister_beetle,5,1
Leaf_hopper,8,1
Leaf_hopper,17,1
Leaf_hopper,25,1
Leaf_hopper,8,1
Leaf_hopper,17,1
Leaf_hopper,22,1
Leaf_hopper,19,1
Leaf_hopper,8,1
Leaf_hopper,21,0
Leaf_hopper,8,1
Leaf_hopper,9,1
Leaf_hopper,8,1
Beet_armyworm,20,0
Beet_armyworm,6,0
Beet_armyworm,23,0
Beet_armyworm,17,1
Beet_armyworm,19,0
Beet_armyworm,13,0
Beet_armyworm,23,0
Beet_armyworm,19,0
Beet_armyworm,21,1
Beet_armyworm,21,1
Beet_armyworm,9,0
Beet_armyworm,18,0
Pea_aphid,17,0
Pea_aphid,24,0
Pea_aphid,15,0
Pea_aphid,6,0
Pea_aphid,5,0
Pea_aphid,15,0
Pea_aphid,3,0
Pea_aphid,19,0
Pea_aphid,8,0
Pea_aphid,17,1
Pea_aphid,18,0
Pea_aphid,18,0
Pea_aphid,11,1
Pea_aphid,24,0
Sharpshooter,24,1
Sharpshooter,28,1
Sharpshooter,18,1
Sharpshooter,1,1
Sharpshooter,19,1
Sharpshooter,18,1
Sharpshooter,17,1
Sharpshooter,13,0
Sharpshooter,8,1
Sharpshooter,17,0
Sharpshooter,8,1
Sharpshooter,11,1
Sharpshooter,15,1
Sharpshooter,11,1
Alfalfa_weevil,18,0
Alfalfa_weevil,11,0
Alfalfa_weevil,11,0
Alfalfa_weevil,5,1
Alfalfa_weevil,17,0
Alfalfa_weevil,20,0
Alfalfa_weevil,21,0
Alfalfa_weevil,17,0
Alfalfa_weevil,19,0
Alfalfa_weevil,21,0
Alfalfa_weevil,8,1
Alfalfa_weevil,11,0
Alfalfa_weevil,15,1
Alfalfa_weevil,11,1
